number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
3972,2017,Megan Leavey,13406304,0,2017-06-09,Bleecker Street,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"LD Entertainment,Liddell Entertainment",United States,yes,no info,50k-50m,Gabriela Cowperthwaite,"biography,drama,war","English,Arabic",4899370,"Biography,Drama,War",others
937,2014,Kill the Messenger,2450846,5000000,2014-10-17,Focus Features,R,,Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,Bluegrass Films,United States,yes,100k-25m,50k-50m,Michael Cuesta,"biography,crime,drama",English,1216491,"Biography,Crime,Drama,Mystery,Thriller",nbc_universal
963,2014,Locke,1370646,0,2014-04-25,A24,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,Shoebox Films,"United Kingdom,United States",yes,no info,50k-50m,Steven Knight,drama,English,2692904,Drama,others
825,2014,Into the Woods,128002372,56200000,2014-12-25,Walt Disney,PG,,Based on Folk Tale/Legend/Fairytale,Musical,Animation/Live Action,Fantasy,"Lucamar,Marc Platt Productions",United States,yes,50m-75m,100m-150m,Rob Marshall,"adventure,comedy,drama",English,2180411,"Adventure,Comedy,Drama,Fantasy,Musical",disney
1822,2015,Entourage,32363404,30000000,2015-06-03,Warner Bros.,R,,Based on TV,Comedy,Live Action,Contemporary Fiction,"Closest to the Hole,Leverage",United States,yes,25m-50m,50k-50m,Doug Ellin,comedy,English,1674771,Comedy,time_warner
3945,2017,Fist Fight,32187017,25000000,2017-02-17,Warner Bros.,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment,21 Laps Entertainment,Wrigley Pictures",United States,yes,25m-50m,50k-50m,Richie Keen,comedy,English,3401882,Comedy,time_warner
5063,2018,Maze Runner: The Death Cure,58032443,61000000,2018-01-26,20th Century Fox,PG-13,The Maze Runner,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction,"Gotham Group,Temple Hill Entertainment,TSG Entertainment",United States,yes,50m-75m,50m-100m,James Dashner,"action,sci-fi,thriller",English,4500922,"Action,Sci-Fi,Thriller",21st_century_fox
3863,2017,Guardians of the Galaxy Vol 2,389813101,200000000,2017-05-05,Walt Disney,PG-13,Marvel Cinematic Universe,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,Marvel Studios,United States,yes,200m-225m,350m-400m,James Gunn,"action,adventure,comedy",English,3896198,"Action,Adventure,Comedy,Sci-Fi",disney
3043,2016,Midnight Special,3712282,18000000,2016-03-18,Warner Bros.,PG-13,,Original Screenplay,Drama,Live Action,Science Fiction,"Warner Bros.,RatPac Entertainment,Dune Entertainment,Faliro House Productions,Tri State Pictures",United States,yes,100k-25m,50k-50m,Jeff Nichols,"action,drama,mystery",English,2649554,"Action,Drama,Mystery,Sci-Fi,Thriller",time_warner
884,2014,Chef,31424004,0,2014-08-29,Open Road,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Fairview Entertainment,United States,yes,no info,50k-50m,Jon Favreau,"adventure,comedy,drama","English,Spanish",2883512,"Adventure,Comedy,Drama",others
